"species1","species2","D","p_eqD","CI_eqD_lower","CI_eqD_upper","p_sim1D","CI_sim1D_lower","CI_sim1D_upper","p_sim2D","CI_sim2D_lower","CI_sim2D_upper"
"Hillia_grayumii","Hillia_panamensis",0.0128564902803859,1,0.0606043091566717,0.490331499699234,0.0297029702970297,0,0.0082045786004047,0.0495049504950495,0,0.0101247610836154
"Hillia_grayumii","Hillia_parasitica",0.00432107962168116,0.99009900990099,0.0186884942900281,0.207631206032716,0.108910891089109,9.55630613359016e-06,0.0147937304351591,0.178217821782178,0,0.0218097873484412
"Hillia_grayumii","Hillia_pumila",0.0229431768978409,0.96039603960396,0.0246262191809962,0.330557898292893,0.0297029702970297,0,0.00673327061910684,0.0198019801980198,0,0.00349365868819287
"Hillia_grayumii","Hillia_tetrandra",0.0394817253629902,0.930693069306931,0.0307300375874648,0.368929521202798,0.0396039603960396,0,0.0158680668488517,0.0297029702970297,0,0.0144787755938868
"Hillia_grayumii","Hillia_triflora_var._pittieri",0.13175055997647,0.930693069306931,0.128104466230272,0.609961004127147,0.0198019801980198,0,0.0425137976310756,0.0198019801980198,0,0.0417336851456217
"Hillia_grayumii","Hillia_triflora_var._triflora",0.0163836967102997,1,0.0717971747359333,0.574900958855053,0.0891089108910891,0,0.0252269864723175,0.108910891089109,0,0.0421216914169696
"Hillia_grayumii","Hillia_ulei",0.00274366882596067,0.95049504950495,0.0028387079052091,0.193890308336453,0.297029702970297,0,0.0423068457390888,0.237623762376238,0,0.0377718538978836
"Hillia_grayumii","Hillia_wurdackii",0.00767042973652132,1,0.0761634533538201,0.321624029936098,0.0396039603960396,0,0.00525702379419532,0.0495049504950495,0,0.00632337568812449
"Hillia_illustris","Hillia_killipii",0.161971143523195,0.653465346534653,0.0576560081155712,0.284545485115211,0.0693069306930693,0,0.163431891788457,0.099009900990099,0,0.224061043819137
"Hillia_illustris","Hillia_longifilamentosa",0.0940387781463787,0.435643564356436,0.0107289559090959,0.315131388974349,0.495049504950495,0,0.287747548071929,0.425742574257426,0,0.302508423221755
"Hillia_illustris","Hillia_loranthoides",0.157158313516672,0.584158415841584,0.0538076038127426,0.340155781531846,0.148514851485149,1.0547118733939e-16,0.223636294204024,0.128712871287129,0,0.220136767369408
"Hillia_illustris","Hillia_macromeris",0.414674609899885,0.118811881188119,0.0147596169990996,0.447862871620106,0.188118811881188,0,0.788302151716006,0.247524752475248,0.000599200611492295,0.800188224956432
"Hillia_illustris","Hillia_macrophylla_SA",0.182189786724265,0.930693069306931,0.168131095779212,0.338213000761289,0.0792079207920792,0,0.229621069165698,0.0396039603960396,0,0.113110963507476
"Hillia_illustris","Hillia_macrophylla_CA",0.0932087548630497,0.247524752475248,0.0036398515319981,0.227354296188072,0.188118811881188,0,0.150212749820807,0.099009900990099,0,0.114014753411786
"Hillia_illustris","Hillia_maxonii",0.145372914652427,0.762376237623762,0.0740341360434948,0.615768359887422,0.534653465346535,8.32694106178367e-05,0.587757443894664,0.495049504950495,0.000118473295452365,0.578075453067584
"Hillia_illustris","Hillia_palmana",0.108536732347391,0.97029702970297,0.167791307234322,0.301964809057459,0.544554455445545,0.0123268470588934,0.337068168492354,0.574257425742574,0.00812838898825103,0.296187699046017
"Hillia_illustris","Hillia_panamensis",0.144833798336666,0.544554455445545,0.0528089322639157,0.310188332541616,0.118811881188119,0,0.167753633311934,0.138613861386139,0,0.210950481900788
"Hillia_illustris","Hillia_parasitica",0.0911444817671391,1,0.518872308218689,0.769867305127321,0.534653465346535,0.000659858379393369,0.703973947416368,0.544554455445545,0.00326135188964667,0.613234773845277
"Hillia_illustris","Hillia_pumila",0.121070354255598,0.386138613861386,0.0125413969016093,0.235048488731445,0.0495049504950495,0,0.0834592444488473,0.0198019801980198,0,0.0849402276336413
"Hillia_illustris","Hillia_tetrandra",0.207239184641514,0.544554455445545,0.114553696168782,0.293712368220012,0.108910891089109,0,0.244259546410217,0.0792079207920792,0,0.262789884922065
"Hillia_illustris","Hillia_triflora_var._pittieri",0.0908395174128624,0.97029702970297,0.103417078895887,0.389035608046185,0.336633663366337,1.25591196655339e-05,0.218783139584902,0.306930693069307,0,0.181955117560473
"Hillia_illustris","Hillia_triflora_var._triflora",0.133072869454006,0.663366336633663,0.0740304985122848,0.373650466689343,0.435643564356436,0.00057308054768539,0.313584010596686,0.465346534653465,0.000907446034995252,0.315032828542168
"Hillia_illustris","Hillia_ulei",0.454993277898453,0.267326732673267,0.0925990595050627,0.588513588784072,0.188118811881188,0.000266466099301493,0.72351520005528,0.158415841584158,0,0.665089032450621
