Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
172	-13.10865	-15.67502	2.566369	0.01432509	0.0143251	0.0143251	0.0143251	0.0143251	0.0143251	0.0143251
173	-13.88333	-16.23718	2.353849	0.02721571	0.0272157	0.0272157	0.0272157	0.0272157	0.0272157	0.0272157
174	-13.13893	-15.66566	2.526727	0.01672964	0.0167296	0.0167296	0.0167296	0.0167296	0.0167296	0.0167296
175	-13.13365	-15.6635	2.52985	0.01654018	0.0165402	0.0165402	0.0165402	0.0165402	0.0165402	0.0165402
176	-13.27083	-15.74895	2.478119	0.01967797	0.019678	0.019678	0.019678	0.019678	0.019678	0.019678
177	-13.20219	-15.70172	2.499524	0.01837962	0.0183796	0.0183796	0.0183796	0.0183796	0.0183796	0.0183796
178	-13.87045	-16.22647	2.356021	0.02708393	0.0270839	0.0270839	0.0270839	0.0270839	0.0270839	0.0270839
179	-14.31711	-16.6019	2.28479	0.03140453	0.0314045	0.0314045	0.0314045	0.0314045	0.0314045	0.0314045
180	-13.92462	-16.27157	2.346944	0.02763452	0.0276345	0.0276345	0.0276345	0.0276345	0.0276345	0.0276345
181	-13.17088	-15.68232	2.511437	0.01765707	0.0176571	0.0176571	0.0176571	0.0176571	0.0176571	0.0176571
182	-13.71216	-16.09575	2.383594	0.02541148	0.0254115	0.0254115	0.0254115	0.0254115	0.0254115	0.0254115
183	-13.8134	-16.17916	2.365761	0.02649313	0.0264931	0.0264931	0.0264931	0.0264931	0.0264931	0.0264931
184	-13.28077	-15.75612	2.475348	0.01984608	0.0198461	0.0198461	0.0198461	0.0198461	0.0198461	0.0198461
185	-14.32255	-16.60651	2.283961	0.03145479	0.0314548	0.0314548	0.0314548	0.0314548	0.0314548	0.0314548
186	-14.32255	-16.60651	2.283961	0.03145479	0.0314548	0.0314548	0.0314548	0.0314548	0.0314548	0.0314548
187	-13.30728	-15.77552	2.468239	0.02027724	0.0202772	0.0202772	0.0202772	0.0202772	0.0202772	0.0202772
188	-14.62568	-16.86445	2.238769	0.03419595	0.0341959	0.0341959	0.0341959	0.0341959	0.0341959	0.0341959
