Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
203	1	-13.11289	-15.65997	2.547076	0.01549537	0.0154954	0.0154954	0.0154954	0.0154954	0.0154954	0.0154954
204	0	-13.10773	-15.66624	2.558509	0.01480183	0.0148018	0.0148018	0.0148018	0.0148018	0.0148018	0.0148018
205	1	-13.17886	-15.68706	2.508199	0.01785348	0.0178535	0.0178535	0.0178535	0.0178535	0.0178535	0.0178535
206	0	-13.11084	-15.6609	2.550065	0.01531404	0.015314	0.015314	0.015314	0.015314	0.015314	0.015314
207	1	-13.11208	-15.68456	2.572482	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543
208	0	-13.43035	-15.86933	2.438976	0.02205221	0.0220522	0.0220522	0.0220522	0.0220522	0.0220522	0.0220522
209	1	-13.43903	-16.08842	2.649395	0.009289094	0.00928909	0.00928909	0.00928909	0.00928909	0.00928909	0.00928909
210	0	-13.10857	-15.67473	2.566159	0.01433783	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378
211	1	-13.30495	-15.93666	2.631718	0.01036128	0.0103613	0.0103613	0.0103613	0.0103613	0.0103613	0.0103613
212	0	-13.31017	-15.94271	2.632535	0.01031173	0.0103117	0.0103117	0.0103117	0.0103117	0.0103117	0.0103117
213	1	-13.77804	-16.4565	2.678463	0.007525962	0.00752596	0.00752596	0.00752596	0.00752596	0.00752596	0.00752596
214	0	-13.19717	-15.69848	2.501307	0.01827147	0.0182715	0.0182715	0.0182715	0.0182715	0.0182715	0.0182715
215	1	-14.69504	-17.41554	2.720499	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624
216	0	-13.32626	-15.78963	2.463369	0.02057265	0.0205726	0.0205726	0.0205726	0.0205726	0.0205726	0.0205726
217	1	-14.14292	-16.84192	2.699	0.006280243	0.00628024	0.00628024	0.00628024	0.00628024	0.00628024	0.00628024
218	0	-13.11201	-15.66028	2.548268	0.01542305	0.0154231	0.0154231	0.0154231	0.0154231	0.0154231	0.0154231
219	1	-13.64107	-16.30949	2.668414	0.008135476	0.00813548	0.00813548	0.00813548	0.00813548	0.00813548	0.00813548
